timestamp,Marktpreis_deutschland,Marktpreis_Schweiz,Marktpreis_Österreich,Marktpreis_Italien_Nord,Marktpreis_Frankreich
2018-10-07,63.88,77.84,74.18,77.57,70.23
2018-10-08,71.56,79.04,77.99,83.46,75.2
2018-10-09,62.17,78.88,73.68,78.92,68.04
2018-10-10,54.35,77.51,71.71,78.33,65.31
2018-10-11,56.77,73.87,63.95,73.7,61.49
2018-10-12,44.88,66.99,55.45,68.2,57.62
2018-10-13,28.09,58.52,36.19,62.6,40.61
2018-10-14,59.45,72.47,62.23,75.79,67.76
2018-10-15,72.0,80.26,74.16,81.14,74.04
2018-10-16,70.91,77.9,74.69,93.53,74.82
2018-10-17,63.16,75.15,71.48,78.47,66.17
2018-10-18,67.61,76.82,71.13,80.0,66.53
2018-10-19,59.38,71.52,61.57,69.76,60.31
2018-10-20,55.51,64.05,56.1,64.85,57.02
2018-10-21,56.13,74.22,69.51,77.22,62.73
2018-10-22,34.62,76.48,62.59,74.65,63.5
2018-10-23,44.57,76.25,58.91,75.71,67.25
2018-10-24,48.74,74.64,59.29,75.06,71.67
2018-10-25,58.53,75.47,61.58,75.2,70.5
2018-10-26,48.12,68.57,54.32,67.85,66.23
2018-10-27,43.46,60.26,45.98,59.89,53.78
2018-10-28,43.97,76.45,50.96,74.39,74.31
2018-10-29,33.67,73.87,42.72,74.44,73.12
2018-10-30,45.14,70.2,52.04,74.05,73.27
2018-10-31,47.91,55.99,49.45,60.94,54.12
2018-11-01,54.77,63.35,57.86,66.15,65.98
2018-11-02,52.04,62.62,54.08,60.81,61.09
2018-11-03,47.47,51.56,49.03,55.49,54.4
2018-11-04,57.19,65.68,59.22,63.13,62.71
2018-11-05,58.55,57.92,58.92,63.77,60.24
2018-11-06,56.01,58.78,56.48,61.01,57.26
2018-11-07,62.87,63.16,62.85,63.11,62.96
2018-11-08,59.51,60.43,59.79,62.45,60.52
2018-11-09,43.07,47.93,44.6,59.81,51.09
2018-11-10,39.73,42.93,42.07,56.8,49.9
2018-11-11,54.9,62.51,56.95,63.5,62.88
2018-11-12,53.11,66.87,59.36,65.54,64.74
2018-11-13,61.87,67.11,62.53,64.72,64.47
2018-11-14,63.48,65.6,64.32,66.39,66.38
2018-11-15,57.77,66.71,62.77,67.62,67.3
2018-11-16,48.21,61.92,63.18,64.75,60.27
2018-11-17,47.6,60.27,56.83,62.67,56.91
2018-11-18,48.22,73.23,66.61,74.51,74.31
2018-11-19,46.65,80.12,70.72,80.64,95.19
2018-11-20,55.36,81.21,73.65,76.51,115.13
2018-11-21,77.8,82.04,86.48,89.29,102.22
2018-11-22,80.33,83.15,81.49,80.74,84.76
2018-11-23,61.95,67.34,65.21,66.02,66.47
2018-11-24,53.85,62.19,59.62,59.58,59.43
2018-11-25,73.67,73.24,75.4,76.46,89.12
2018-11-26,75.51,82.21,76.02,77.45,77.5
2018-11-27,52.99,65.83,57.5,62.23,62.24
2018-11-28,50.4,61.18,60.09,63.39,62.38
2018-11-29,57.5,62.3,61.51,70.94,62.18
2018-11-30,46.86,60.98,58.21,68.04,58.06
2018-12-01,30.2,52.72,47.96,66.21,45.5
2018-12-02,44.62,61.51,59.84,65.98,51.99
2018-12-03,50.65,63.12,60.89,65.82,60.35
2018-12-04,59.21,62.16,59.33,64.33,59.63
2018-12-05,54.75,57.72,57.49,72.2,57.59
2018-12-06,42.58,55.14,58.84,68.16,48.66
2018-12-07,11.87,44.42,45.42,50.63,29.13
2018-12-08,8.92,44.79,42.16,53.87,25.63
2018-12-09,36.16,56.19,45.37,58.09,50.98
2018-12-10,55.37,63.63,61.6,63.63,62.32
2018-12-11,69.91,70.44,70.33,74.4,71.01
2018-12-12,66.24,68.09,68.89,73.39,69.83
2018-12-13,71.16,75.48,73.67,76.54,75.34
2018-12-14,54.41,64.3,62.36,65.32,61.3
2018-12-15,49.71,57.27,59.18,62.65,57.29
2018-12-16,69.39,68.69,69.56,74.2,70.05
2018-12-17,59.45,66.06,65.09,68.14,61.92
2018-12-18,56.44,65.57,62.85,75.75,61.12
2018-12-19,56.69,65.06,62.73,71.21,59.46
2018-12-20,49.62,62.96,64.21,66.92,53.95
2018-12-21,36.62,52.15,50.7,59.35,44.58
2018-12-22,42.67,45.61,43.48,61.15,45.36
2018-12-23,46.83,45.56,47.38,58.05,50.33
2018-12-24,19.01,36.82,23.65,47.9,39.29
2018-12-25,47.4,46.43,48.5,57.01,52.69
2018-12-26,60.01,62.04,60.43,63.29,61.51
2018-12-27,59.8,59.68,60.04,62.39,60.84
2018-12-28,47.34,55.12,51.86,59.06,53.45
2018-12-29,33.53,45.54,49.97,66.35,47.33
2018-12-30,54.69,53.45,54.86,58.94,55.32
2018-12-31,-4.3,43.05,15.07,43.96,41.24
2019-01-01,25.92,58.19,35.5,58.85,54.27
2019-01-02,57.72,62.31,59.35,61.43,61.25
2019-01-03,49.91,63.26,53.95,66.3,64.93
2019-01-04,42.18,60.18,52.53,67.42,62.66
2019-01-05,54.55,59.06,54.92,57.9,55.61
2019-01-06,51.81,64.23,61.48,69.1,62.78
2019-01-07,34.5,59.18,53.37,75.67,57.8
2019-01-08,40.0,61.58,56.57,70.35,57.76
2019-01-09,67.67,68.14,68.92,71.47,69.23
2019-01-10,49.92,65.61,56.77,68.5,65.34
2019-01-11,40.8,58.13,44.63,65.33,53.54
2019-01-12,15.1,49.35,40.49,65.68,46.28
2019-01-13,32.61,59.01,38.35,64.96,56.65
2019-01-14,45.45,63.64,49.64,71.49,60.94
2019-01-15,45.2,62.51,49.97,72.41,62.7
2019-01-16,42.84,63.26,51.19,69.0,61.56
2019-01-17,61.73,67.02,63.4,70.77,66.68
2019-01-18,55.39,62.82,62.75,67.37,63.87
2019-01-19,53.89,60.61,61.04,65.28,61.54
2019-01-20,69.9,72.77,70.26,72.69,71.51
2019-01-21,63.0,68.73,66.07,73.49,72.32
2019-01-22,75.08,71.83,75.32,78.36,76.07
2019-01-23,85.8,82.83,85.84,85.57,85.94
2019-01-24,66.5,72.08,67.45,70.29,69.53
2019-01-25,49.09,55.86,51.99,61.27,54.39
2019-01-26,35.44,48.63,49.23,62.95,40.53
2019-01-27,50.4,58.7,58.18,61.21,55.89
2019-01-28,60.19,64.65,61.73,69.49,62.67
2019-01-29,53.07,62.47,60.22,71.66,59.18
2019-01-30,59.84,62.68,60.16,65.74,61.13
2019-01-31,55.48,60.4,57.35,66.18,59.49
2019-02-01,50.19,52.56,50.2,54.63,50.21
2019-02-02,46.72,48.19,47.01,53.39,47.78
2019-02-03,44.05,58.92,50.52,64.26,57.23
2019-02-04,53.79,58.68,54.83,60.86,58.36
2019-02-05,51.32,53.28,52.1,57.41,52.99
2019-02-06,44.55,52.03,49.87,63.58,48.21
2019-02-07,41.62,53.06,49.16,61.18,47.39
2019-02-08,6.81,48.53,46.43,62.52,33.78
2019-02-09,28.03,44.04,31.25,51.8,32.09
2019-02-10,31.97,51.68,35.91,51.85,47.13
2019-02-11,46.74,52.61,48.28,59.46,51.39
2019-02-12,45.38,50.52,47.11,55.48,49.7
2019-02-13,49.09,50.95,49.44,57.72,50.45
2019-02-14,47.62,47.87,48.39,55.89,48.85
2019-02-15,39.22,43.64,43.31,52.52,44.03
2019-02-16,39.05,41.11,39.67,52.0,39.67
2019-02-17,46.4,47.38,47.96,61.42,47.02
2019-02-18,41.31,49.68,45.93,58.36,47.02
2019-02-19,45.6,47.7,46.87,58.34,47.16
2019-02-20,43.23,47.28,45.93,61.21,47.03
2019-02-21,47.2,47.61,47.26,56.91,47.02
2019-02-22,40.14,42.61,40.36,52.18,40.06
2019-02-23,39.99,39.79,40.0,46.92,39.64
2019-02-24,44.41,45.94,44.49,57.2,44.44
2019-02-25,44.6,44.82,44.49,57.32,43.75
2019-02-26,44.21,43.04,44.24,55.17,43.43
2019-02-27,40.26,41.28,40.71,58.17,40.09
2019-02-28,45.85,45.74,45.77,54.41,44.35
2019-03-01,41.25,40.67,41.31,50.54,40.71
2019-03-02,10.22,22.79,13.06,52.42,17.88
2019-03-03,13.31,37.94,20.82,51.01,29.23
2019-03-04,31.34,37.92,39.38,61.43,40.41
2019-03-05,34.77,40.98,35.62,59.61,35.98
2019-03-06,29.02,34.82,29.88,56.48,32.65
2019-03-07,26.39,40.56,32.93,57.74,40.03
2019-03-08,7.98,31.9,28.27,53.06,24.03
2019-03-09,17.51,25.39,19.02,46.81,18.29
2019-03-10,38.67,39.58,38.69,49.1,39.28
2019-03-11,36.59,41.45,37.07,59.12,39.41
2019-03-12,18.05,35.31,30.4,60.74,28.88
2019-03-13,32.54,33.97,34.21,59.63,35.13
2019-03-14,25.21,31.36,27.59,58.1,29.85
2019-03-15,17.22,24.8,18.57,45.8,17.75
2019-03-16,0.43,11.01,5.23,55.83,8.76
2019-03-17,31.92,39.6,35.62,54.51,38.6
2019-03-18,45.34,44.48,45.34,61.41,45.31
2019-03-19,41.5,42.8,41.52,55.31,41.96
2019-03-20,39.79,40.75,39.84,54.37,39.93
2019-03-21,40.57,40.59,40.57,54.85,40.45
2019-03-22,35.61,34.48,35.62,45.11,35.6
2019-03-23,33.46,30.02,33.48,46.69,33.35
2019-03-24,32.29,36.73,32.74,51.01,33.86
2019-03-25,36.5,38.63,36.68,52.26,37.29
2019-03-26,40.19,40.48,40.19,49.86,39.97
2019-03-27,42.32,41.68,42.33,50.73,40.48
2019-03-28,39.85,39.56,39.86,56.36,39.34
2019-03-29,35.04,34.09,35.05,48.39,34.05
2019-03-30,28.63,28.93,28.67,47.6,26.68
2019-03-31,38.01,36.07,38.02,57.64,36.67
2019-04-01,33.85,36.45,34.29,56.27,35.73
2019-04-02,42.24,41.84,42.39,63.73,42.93
2019-04-03,42.02,42.76,42.27,60.67,43.8
2019-04-04,42.28,42.77,42.55,52.31,43.53
2019-04-05,38.33,39.0,38.42,51.21,39.13
2019-04-06,37.98,35.98,37.99,52.3,38.37
2019-04-07,44.4,45.14,44.64,56.16,45.42
2019-04-08,41.99,43.91,42.15,59.7,42.72
2019-04-09,42.82,43.43,43.1,61.72,44.07
2019-04-10,44.74,46.17,44.74,62.19,44.74
2019-04-11,44.9,46.43,44.9,61.05,44.9
2019-04-12,41.42,42.16,41.76,55.36,42.95
2019-04-13,37.25,40.72,38.12,55.83,41.57
2019-04-14,41.83,46.85,45.08,55.63,46.91
2019-04-15,41.62,47.95,44.67,57.26,45.25
2019-04-16,40.81,43.08,41.24,58.78,42.26
2019-04-17,40.84,40.73,41.99,54.63,41.55
2019-04-18,33.84,35.92,37.33,50.54,36.3
2019-04-19,34.52,35.88,34.54,46.42,30.31
2019-04-20,31.6,29.75,31.54,40.08,30.88
2019-04-21,-14.01,15.33,-7.27,37.01,10.86
2019-04-22,14.75,22.49,18.59,62.78,26.94
2019-04-23,34.7,32.52,34.59,56.16,33.39
2019-04-24,39.31,34.66,38.73,45.02,28.66
2019-04-25,43.54,39.51,42.95,47.98,39.97
2019-04-26,31.99,32.83,31.99,43.34,24.26
2019-04-27,35.09,34.0,34.71,36.21,33.46
2019-04-28,43.15,43.16,43.11,49.35,42.06
2019-04-29,42.87,42.41,42.87,52.22,42.85
2019-04-30,25.47,27.08,25.78,45.84,28.34
2019-05-01,37.94,38.34,39.24,57.34,38.93
2019-05-02,40.7,41.03,40.73,58.71,40.78
2019-05-03,39.51,37.87,39.52,55.44,38.57
2019-05-04,30.49,34.6,30.47,45.61,31.33
2019-05-05,44.29,43.17,44.33,52.05,44.76
2019-05-06,50.47,49.06,50.52,56.04,50.02
2019-05-07,39.47,41.71,39.5,59.59,38.4
2019-05-08,45.25,42.65,45.25,56.07,44.66
2019-05-09,44.79,46.42,44.88,54.98,44.88
2019-05-10,37.61,38.53,37.71,51.99,33.34
2019-05-11,19.42,20.59,20.82,44.75,23.53
2019-05-12,39.23,41.57,39.23,56.04,39.21
2019-05-13,41.01,41.98,40.92,53.62,40.57
2019-05-14,40.85,42.36,40.85,53.95,40.72
2019-05-15,39.73,41.46,39.73,52.19,39.73
2019-05-16,42.95,39.67,42.95,51.61,42.11
2019-05-17,37.19,37.25,37.19,43.99,36.85
2019-05-18,35.36,33.46,35.35,43.89,35.22
2019-05-19,46.29,44.18,46.3,47.98,45.49
2019-05-20,43.29,41.96,43.39,48.37,42.65
2019-05-21,40.09,40.42,40.09,47.76,40.09
2019-05-22,40.67,42.4,40.61,46.21,39.67
2019-05-23,40.46,39.51,40.49,44.19,38.81
2019-05-24,36.68,36.36,36.68,41.82,36.68
2019-05-25,21.6,23.42,21.92,44.82,21.34
2019-05-26,35.35,35.61,35.47,44.37,31.83
2019-05-27,43.33,40.1,42.37,46.6,34.52
2019-05-28,41.76,40.11,41.19,42.63,37.49
2019-05-29,16.09,22.71,16.86,44.86,19.29
2019-05-30,35.8,34.54,35.6,46.68,33.82
2019-05-31,29.96,31.6,29.8,37.71,28.88
2019-06-01,21.87,21.34,21.44,32.83,17.69
2019-06-02,36.9,35.52,36.88,47.56,35.22
2019-06-03,38.99,39.59,38.62,40.66,35.6
