date,country,market_price(€/MWh)),gCO2eq/kWh_actual,gCO2eq/kWh_baseline,gCO2eq/kWh_difference
2018-06-22,France,27.73,21.831597818461475,269.0261171579232,0.0
2018-06-23,France,30.28,22.90605256084232,269.0122262033532,0.0
2018-06-24,France,45.98,22.818946786337147,268.9983352487831,0.0
2018-06-26,France,49.6,40.47498001575121,268.97055333964306,0.0
2018-06-27,France,45.05,38.28579275816512,268.956662385073,0.0
2018-06-28,France,46.19,40.37131673452328,268.94277143050294,0.0
2018-06-29,France,43.52,36.80720924782095,268.92888047593294,0.0
2018-06-30,France,30.59,37.45450416059416,268.9149895213629,0.0
2018-07-01,France,52.27,34.62491996310163,268.9010985667928,0.0
2018-07-02,France,56.9,50.30173836548492,268.8872076122228,0.0
2018-07-03,France,57.29,70.05491024446549,268.8733166576528,0.0
2018-07-04,France,55.96,75.28599190427104,268.8594257030827,0.0
2018-07-05,France,51.86,69.43220209869479,268.8455347485127,0.0
2018-07-06,France,43.88,56.707261856600944,268.8316437939427,0.0
2018-07-07,France,36.39,29.92026367491582,268.8177528393726,0.0
2018-07-08,France,52.39,27.99246479987625,268.8038618848026,0.0
2018-07-09,France,52.95,43.38892471988186,268.7899709302326,0.0
2018-07-10,France,52.57,61.20201570137584,268.7760799756625,0.0
2018-07-11,France,53.31,66.79564071420165,268.76218902109247,0.0
2018-07-12,France,51.45,60.28672482746072,268.74829806652247,0.0
2018-07-13,France,48.98,62.15179117455587,268.7344071119524,0.0
2018-07-14,France,46.36,47.122132020058224,268.72051615738235,0.0
2018-07-15,France,53.7,40.36328612580137,268.70662520281235,0.0
2018-07-16,France,52.14,61.74356344399499,268.6927342482423,0.0
2018-07-17,France,50.66,66.43669820386259,268.67884329367223,0.0
2018-07-18,France,51.7,63.09921688399568,268.66495233910223,0.0
2018-07-19,France,53.54,55.8880959631872,268.65106138453217,0.0
2018-07-20,France,50.37,61.7003963374944,268.6371704299621,0.0
2018-07-21,France,46.82,42.108049483053854,268.6232794753921,0.0
2018-07-22,France,55.06,42.27281329548332,268.60938852082205,0.0
2018-07-23,France,57.23,64.56735175063889,268.595497566252,0.0
2018-07-24,France,59.24,66.69204144808793,268.581606611682,0.0
2018-07-25,France,60.04,66.78244707220239,268.567715657112,0.0
2018-07-27,France,47.35,71.82711001098731,268.5399337479719,0.0
2018-07-28,France,44.87,38.41832746227933,268.52604279340187,0.0
2018-07-29,France,55.19,37.17148763478817,268.51215183883176,0.0
2018-07-30,France,56.33,63.67450849347301,268.49826088426175,0.0
2018-07-31,France,56.3,68.80061353616996,268.48436992969175,0.0
2018-08-01,France,59.51,64.56577256423328,268.4704789751217,0.0
2018-08-02,France,63.71,68.79463698192086,268.45658802055164,0.0
2018-08-03,France,51.35,69.8606981783464,268.44269706598163,0.0
2018-08-04,France,50.96,63.3618817165917,268.4288061114116,0.0
2018-08-05,France,62.22,62.99315581746253,268.4149151568415,0.0
2018-08-06,France,63.36,83.4914832739005,268.4010242022715,0.0
2018-08-07,France,56.5,81.37523859079867,268.38713324770146,0.0
2018-08-08,France,54.71,67.11634596206133,268.3732422931314,0.0
2018-08-09,France,46.48,58.67939458823492,268.3593513385614,0.0
2018-08-10,France,48.03,45.53455757602568,268.34546038399134,0.0
2018-08-11,France,43.15,40.9448176720904,268.3315694294213,0.0
2018-08-12,France,55.99,37.46780882230724,268.3176784748513,0.0
2018-08-13,France,55.21,49.341951031142,268.3037875202812,0.0
